,index,GMAT,GPA,Stanford,Columbia,Kellogg,Booth,Yale,NYU,Tuck,Cornell,Berkeley,Wharton,UCLA,Duke,INSEAD,Harvard,Michigan,Sloan,STEM_MAJOR,UNDER_REP,IVY_MIT_STANFORD_UNDERGRAD,FEMALE
100,100,,3.7,,35.0,35.0,35.0,,,,,,30.0,,45.0,,,,30.0,0.0,0.0,1.0,0.0
101,101,760.0,3.76,,45.0,40.0,35.0,40.0,40.0,35.0,40.0,,35.0,,,,,,,0.0,0.0,0.0,1.0
102,102,690.0,3.7,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
103,103,,4.18,15.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
104,104,700.0,3.74,,,,,,,45.0,50.0,,,,50.0,,30.0,,,0.0,0.0,0.0,0.0
105,105,740.0,3.2,20.0,40.0,50.0,,,,,,,35.0,,,,35.0,,,0.0,0.0,0.0,1.0
106,106,670.0,8.8,,,20.0,,,,,,20.0,,20.0,,,,,,0.0,0.0,0.0,0.0
107,107,760.0,3.5,,,35.0,35.0,,,,,,35.0,,,,27.5,,30.0,1.0,0.0,0.0,
108,108,740.0,3.9,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
109,109,650.0,11.0,10.0,15.0,,,,,,,,,,,45.0,,,,0.0,0.0,0.0,
110,110,,3.63,20.0,,,,,,,,,20.0,,,,30.0,,,0.0,0.0,0.0,
111,111,700.0,3.55,,20.0,27.5,,20.0,,22.5,,,,,,,,,,0.0,0.0,0.0,0.0
112,112,770.0,3.5,27.5,,,,50.0,,,,,50.0,,,,40.0,,50.0,1.0,0.0,0.0,0.0
113,113,750.0,7.1,,,50.0,,,,35.0,,,,,50.0,50.0,,50.0,35.0,0.0,0.0,0.0,0.0
114,114,710.0,3.8,15.0,,30.0,30.0,,,,,,,,40.0,,22.5,,,0.0,0.0,0.0,0.0
115,0,750.0,3.8,80.0,,95.0,,,,95.0,,,90.0,,,,,,,0.0,0.0,1.0,
116,1,720.0,3.1,,35.0,,,,,,,,10.0,,55.0,,,,,0.0,0.0,1.0,
117,2,720.0,4.0,,,,,,,75.0,,,70.0,,95.0,,,,,0.0,0.0,0.0,
118,3,690.0,3.4,40.0,60.0,,,,,,,,50.0,,,,,,,0.0,0.0,0.0,
119,4,740.0,3.5,,70.0,,,,,,,,65.0,,,,,,,0.0,0.0,0.0,
120,5,740.0,3.9,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
121,6,630.0,3.9,10.0,,37.5,,,,,,,15.0,,45.0,,,40.0,,0.0,0.0,,
122,7,740.0,2.89,,,,,,,,,,,,,,,,,0.0,0.0,1.0,
123,8,660.0,3.7,,,,,,,,,,,,,,,45.0,,0.0,0.0,0.0,
124,9,710.0,3.93,35.0,,55.0,,,,50.0,,,50.0,,,,42.5,,,0.0,0.0,0.0,
125,10,720.0,3.3,40.0,57.5,57.5,,,,,,,42.5,,,,,,,0.0,0.0,,
126,11,750.0,3.49,30.0,,,,,,,,,,,,50.0,,,,1.0,0.0,0.0,
127,12,750.0,3.74,50.0,,70.0,75.0,,,,,,,,,,,,,0.0,0.0,1.0,
128,13,660.0,3.5,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
129,14,700.0,3.25,,,,,,,,,,,,,,,,,1.0,0.0,0.0,
130,15,620.0,3.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
131,16,670.0,3.3,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
132,17,740.0,3.2,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
133,18,700.0,3.4,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
134,19,670.0,3.4,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
135,20,720.0,3.8,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
