,GMAT,GPA,AGE,Stanford,Wharton,Tuck,Kellogg,Columbia,Duke,Michigan,Harvard,INSEAD,Booth,Yale,NYU,Sloan,Berkeley,Cornell,UCLA,UNIVERSITY_Tier 1,UNIVERSITY_Tier 2,UNIVERSITY_Tier 3,MAJOR_Business,MAJOR_Economics,MAJOR_Engineering,MAJOR_International Studies,GENDER_Female,GENDER_MALE,RACE_Asian,RACE_Black
158,760.0,3.76,23.0,20.0,,,45.0,,,,35.0,,45.0,,,50.0,50.0,,,0,0,1,0,0,0,1,0,1,1,0
159,700.0,3.9,2009.0,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,1,0
160,740.0,3.5,8.0,10.0,,,45.0,,,,20.0,,,,,35.0,35.0,,,0,0,1,0,0,1,0,1,0,1,0
161,,3.5,1.5,,,,37.5,,40.0,,,,35.0,35.0,,,,,35.0,0,0,1,0,1,0,0,1,0,1,0
162,730.0,3.0,5.0,40.0,,,50.0,,,50.0,,,,,,,50.0,,50.0,0,0,1,0,0,1,0,0,0,1,0
163,760.0,3.9,25.0,35.0,50.0,,,,,,45.0,,,,,50.0,,,,0,0,1,0,0,1,0,0,1,1,0
164,700.0,3.7,18.0,10.0,30.0,,,37.5,,,12.5,35.0,,,,,,,,1,0,0,0,0,0,0,0,0,1,0
165,740.0,3.4,27.0,,,40.0,40.0,,,,30.0,,40.0,,,,,,,0,0,1,0,0,1,0,0,1,1,0
166,770.0,3.6,10.0,,40.0,,,,50.0,,15.0,,,,,,50.0,,50.0,0,0,1,0,1,0,0,0,1,1,0
167,715.0,3.81,30.0,40.0,50.0,55.0,,60.0,,,50.0,,55.0,,,,,,,0,0,1,0,1,0,0,0,0,1,0
168,700.0,3.6,5.0,20.0,37.5,,40.0,,,,32.5,,,,,,,,,0,0,1,0,1,0,0,0,0,1,0
169,760.0,3.6,30.0,12.5,32.5,,,40.0,,,25.0,,,,,,,,,0,0,1,0,0,0,0,0,0,1,0
170,700.0,3.7,25.0,10.0,20.0,,40.0,,,,15.0,50.0,30.0,,,,,,,0,0,1,1,0,0,0,0,1,1,0
